number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,state,rmse
125,0.07289602491721162,2026-07-27 05:22:01.887918,2026-07-27 05:22:14.247517,0 days 00:00:12.359599,0.8908649334356816,254,6,2.3494333797074827,0.01172118471876975,40,3.1386192776113324,COMPLETE,0.26999263863522577
105,0.0728967001013173,2026-07-27 05:17:37.870034,2026-07-27 05:17:53.482582,0 days 00:00:15.612548,0.974761765895455,254,7,1.9992074179001906,0.01118983609963737,2,1.5639914677639664,COMPLETE,0.26999388900735755
139,0.07289849411074183,2026-07-27 05:24:53.168774,2026-07-27 05:25:09.347359,0 days 00:00:16.178585,0.9119518379583406,254,7,1.3120612839742314,0.011622571449303575,29,2.554735552117774,COMPLETE,0.269997211301787
149,0.07289975956359346,2026-07-27 05:26:57.776899,2026-07-27 05:27:03.629613,0 days 00:00:05.852714,0.9841672886811202,254,6,1.4768080474600032,0.02424520305889115,28,1.9005388181001697,COMPLETE,0.26999955474702814
65,0.07290073834324975,2026-07-27 05:10:57.706107,2026-07-27 05:11:09.110013,0 days 00:00:11.403906,0.7019634390040248,254,6,6.557646113289341,0.012770908701805772,5,2.9220976082187446,COMPLETE,0.2700013672988523
110,0.07290222855780351,2026-07-27 05:18:45.592057,2026-07-27 05:19:04.605908,0 days 00:00:19.013851,0.8798824457530304,254,7,2.51723567190512,0.010073414302768945,4,3.505613267206372,COMPLETE,0.27000412692735554
49,0.07290311778010364,2026-07-27 05:08:04.999863,2026-07-27 05:08:16.905800,0 days 00:00:11.905937,0.8371799419529237,254,6,3.3501878901392717,0.013457208652421027,24,3.6101990303121188,COMPLETE,0.270005773605128
25,0.07290426500435467,2026-07-27 05:05:47.884549,2026-07-27 05:05:51.205140,0 days 00:00:03.320591,0.862522899774854,254,4,6.590719571491054,0.02700741501520599,7,0.4262230896136173,COMPLETE,0.2700078980406956
45,0.07290680341318367,2026-07-27 05:07:43.049024,2026-07-27 05:07:48.417334,0 days 00:00:05.368310,0.8601768659200117,254,5,3.041382104614088,0.017846497617844594,12,0.5654859288365037,COMPLETE,0.27001259861936755
76,0.07290722893236924,2026-07-27 05:12:59.553412,2026-07-27 05:13:04.009651,0 days 00:00:04.456239,0.6618344760069715,254,4,2.331068272598276,0.018525445354627215,9,0.6281617989886974,COMPLETE,0.27001338657994206
43,0.07290750549824844,2026-07-27 05:07:31.934048,2026-07-27 05:07:37.052913,0 days 00:00:05.118865,0.7895680898721955,254,5,5.430962657425318,0.02120823080814115,15,0.8153852681100326,COMPLETE,0.2700138987131004
114,0.07290813518493558,2026-07-27 05:19:44.877640,2026-07-27 05:19:55.388632,0 days 00:00:10.510992,0.9096487127806705,254,6,2.7213336388387357,0.01139797015939715,5,1.255127388045091,COMPLETE,0.2700150647370172
115,0.07290850518936855,2026-07-27 05:19:55.399790,2026-07-27 05:20:11.957294,0 days 00:00:16.557504,0.8154449595486091,254,7,2.544366756433317,0.010062573590483005,1,1.4799827401639531,COMPLETE,0.2700157498913138
127,0.07291011791292015,2026-07-27 05:22:24.664025,2026-07-27 05:22:41.959292,0 days 00:00:17.295267,0.9035513598727409,254,7,2.179269077513164,0.01049981112309438,43,2.3961650532084384,COMPLETE,0.2700187362256926
